id,round,date,home_team,tf,away_team,home_score,away_score
224,23,Sat Feb 06 2021,Fulham,0–0,West Ham,0,0
225,23,Sat Feb 06 2021,Manchester Utd,3–3,Everton,3,3
226,23,Sun Feb 07 2021,Tottenham,2–0,West Brom,2,0
227,23,Sun Feb 07 2021,Wolves,0–0,Leicester City,0,0
228,23,Sun Feb 07 2021,Liverpool,1–4,Manchester City,1,4
229,23,Sun Feb 07 2021,Sheffield Utd,1–2,Chelsea,1,2
230,23,Mon Feb 08 2021,Leeds United,2–0,Crystal Palace,2,0
231,24,Sat Feb 13 2021,Leicester City,3–1,Liverpool,3,1
232,24,Sat Feb 13 2021,Crystal Palace,0–3,Burnley,0,3
233,24,Sat Feb 13 2021,Manchester City,3–0,Tottenham,3,0
234,24,Sat Feb 13 2021,Brighton,0–0,Aston Villa,0,0
235,24,Sun Feb 14 2021,Southampton,1–2,Wolves,1,2
236,24,Sun Feb 14 2021,West Brom,1–1,Manchester Utd,1,1
237,24,Sun Feb 14 2021,Arsenal,4–2,Leeds United,4,2
238,24,Sun Feb 14 2021,Everton,0–2,Fulham,0,2
239,24,Mon Feb 15 2021,West Ham,3–0,Sheffield Utd,3,0
240,24,Mon Feb 15 2021,Chelsea,2–0,Newcastle Utd,2,0
241,25,Fri Feb 19 2021,Wolves,1–0,Leeds United,1,0
242,25,Sat Feb 20 2021,Southampton,1–1,Chelsea,1,1
243,25,Sat Feb 20 2021,Burnley,0–0,West Brom,0,0
244,25,Sat Feb 20 2021,Liverpool,0–2,Everton,0,2
245,25,Sat Feb 20 2021,Fulham,1–0,Sheffield Utd,1,0
246,25,Sun Feb 21 2021,West Ham,2–1,Tottenham,2,1
247,25,Sun Feb 21 2021,Aston Villa,1–2,Leicester City,1,2
248,25,Sun Feb 21 2021,Arsenal,0–1,Manchester City,0,1
249,25,Sun Feb 21 2021,Manchester Utd,3–1,Newcastle Utd,3,1
250,25,Mon Feb 22 2021,Brighton,1–2,Crystal Palace,1,2
251,26,Sat Feb 27 2021,Manchester City,2–1,West Ham,2,1
252,26,Sat Feb 27 2021,West Brom,1–0,Brighton,1,0
253,26,Sat Feb 27 2021,Leeds United,0–1,Aston Villa,0,1
254,26,Sat Feb 27 2021,Newcastle Utd,1–1,Wolves,1,1
255,26,Sun Feb 28 2021,Crystal Palace,0–0,Fulham,0,0
256,26,Sun Feb 28 2021,Leicester City,1–3,Arsenal,1,3
257,26,Sun Feb 28 2021,Tottenham,4–0,Burnley,4,0
258,26,Sun Feb 28 2021,Chelsea,0–0,Manchester Utd,0,0
259,26,Sun Feb 28 2021,Sheffield Utd,0–2,Liverpool,0,2
260,26,Mon Mar 01 2021,Everton,1–0,Southampton,1,0
261,27,Sat Mar 06 2021,Burnley,1–1,Arsenal,1,1
262,27,Sat Mar 06 2021,Sheffield Utd,0–2,Southampton,0,2
263,27,Sat Mar 06 2021,Aston Villa,0–0,Wolves,0,0
264,27,Sat Mar 06 2021,Brighton,1–2,Leicester City,1,2
265,27,Sun Mar 07 2021,West Brom,0–0,Newcastle Utd,0,0
266,27,Sun Mar 07 2021,Liverpool,0–1,Fulham,0,1
